model_short,prompt,mode,avg_latency,avg_output_tokens
llama3.2,P1_generation,A_basic,14339.86,492.0
llama3.2,P1_generation,B_tuned,6409.13,274.0
llama3.2,P2_classification,A_basic,247.4,5.0
llama3.2,P2_classification,B_tuned,201.91,6.0
llama3.2,P3_extraction,A_basic,1999.19,83.0
llama3.2,P3_extraction,B_tuned,2299.93,99.0
mistral,P1_generation,A_basic,16965.46,249.0
mistral,P1_generation,B_tuned,25227.34,460.0
mistral,P2_classification,A_basic,914.37,3.0
mistral,P2_classification,B_tuned,172.74,3.0
mistral,P3_extraction,A_basic,2908.05,40.0
mistral,P3_extraction,B_tuned,2291.63,43.0
qwen,P1_generation,A_basic,19768.88,241.0
qwen,P1_generation,B_tuned,20492.24,349.0
qwen,P2_classification,A_basic,869.77,5.0
qwen,P2_classification,B_tuned,371.74,3.0
qwen,P3_extraction,A_basic,3238.2,41.0
qwen,P3_extraction,B_tuned,2499.45,41.0
